Name,Age,Position,Shots,SoT,KeyPasses,PassAccuracy,AerialsWon,Touches,Rating,TackleWon,Interception,Clearance,ShotBlocked,Fouls,PassCrossTotal,PassCrossAccurate,PassLongBallTotal,PassLongBallAccurate,PassThroughBallTotal,PassThroughBallAccurate,DribbleWon,FoulGiven,OffsideGiven,Dispossessed,Turnover,Time,Adversário,Data,Mandante,IdJogador,IdJogo,ID
Matheus Pereira,30,Sub,0,0,0,66.7,0,23,6.26,2,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,Cruzeiro,Mirassol,2025-03-29,True,Matheus Pereira - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Marquinhos,23,Sub,0,0,0,100.0,0,8,6.07,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Cruzeiro,Mirassol,2025-03-29,True,Marquinhos - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Lucas Silva,34,Sub,0,0,0,80.0,0,14,6.07,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,Cruzeiro,Mirassol,2025-03-29,True,Lucas Silva - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Yannick Bolasie,37,Sub,0,0,0,50.0,0,5,6.05,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,1,Cruzeiro,Mirassol,2025-03-29,True,Yannick Bolasie - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Lucas Villalba,32,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cruzeiro,Mirassol,2025-03-29,True,Lucas Villalba - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Lautaro Díaz,28,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cruzeiro,Mirassol,2025-03-29,True,Lautaro Díaz - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Marlon,29,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cruzeiro,Mirassol,2025-03-29,True,Marlon - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Fágner,37,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cruzeiro,Mirassol,2025-03-29,True,Fágner - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Eduardo,37,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cruzeiro,Mirassol,2025-03-29,True,Eduardo - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Léo Aragão,24,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cruzeiro,Mirassol,2025-03-29,True,Léo Aragão - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
