minuto,time,jogador,Resultado,Data,IdJogo,IdJogador,Gols,Own Goal,Assistência,Yellow Card,Red Card,Mandante,SofreuGol,Jogo
83,Cruzeiro,Dudu,2-1,2025-03-29,Cruzeiro x Mirassol2025,Dudu - Cruzeiro,0,0,0,0,0,True,1,Cruzeiro x Mirassol
83,Cruzeiro,Marquinhos,2-1,2025-03-29,Cruzeiro x Mirassol2025,Marquinhos - Cruzeiro,0,0,0,0,0,True,1,Cruzeiro x Mirassol
85,Mirassol,Edson Carioca,2-1,2025-03-29,Cruzeiro x Mirassol2025,Edson Carioca - Mirassol,0,0,0,1,0,False,1,Cruzeiro x Mirassol
88,Mirassol,,2-1,2025-03-29,Cruzeiro x Mirassol2025,nan - Mirassol,0,0,0,1,0,False,1,Cruzeiro x Mirassol
91,Cruzeiro,Gabriel Barbosa,2-1,2025-03-29,Cruzeiro x Mirassol2025,Gabriel Barbosa - Cruzeiro,0,0,0,0,0,True,1,Cruzeiro x Mirassol
91,Cruzeiro,Yannick Bolasie,2-1,2025-03-29,Cruzeiro x Mirassol2025,Yannick Bolasie - Cruzeiro,0,0,0,0,0,True,1,Cruzeiro x Mirassol
90+3,Cruzeiro,Cássio,2-1,2025-03-29,Cruzeiro x Mirassol2025,Cássio - Cruzeiro,0,0,0,1,0,True,1,Cruzeiro x Mirassol
33,Gremio,Matías Arezo,2-1,2025-03-29,Gremio x Atletico MG2025,Matías Arezo - Gremio,1,0,0,0,0,True,1,Gremio x Atletico MG
39,Gremio,Wagner Leonardo,2-1,2025-03-29,Gremio x Atletico MG2025,Wagner Leonardo - Gremio,0,0,0,1,0,True,1,Gremio x Atletico MG
45,Gremio,Edenílson,2-1,2025-03-29,Gremio x Atletico MG2025,Edenílson - Gremio,1,0,0,0,0,True,1,Gremio x Atletico MG
45+3,Gremio,Jemerson,2-1,2025-03-29,Gremio x Atletico MG2025,Jemerson - Gremio,0,0,0,1,0,True,1,Gremio x Atletico MG
46,Gremio,Igor,2-1,2025-03-29,Gremio x Atletico MG2025,Igor - Gremio,0,0,0,0,0,True,1,Gremio x Atletico MG
46,Gremio,João Lucas,2-1,2025-03-29,Gremio x Atletico MG2025,João Lucas - Gremio,0,0,0,0,0,True,1,Gremio x Atletico MG
61,Gremio,Lucas Esteves,2-1,2025-03-29,Gremio x Atletico MG2025,Lucas Esteves - Gremio,0,0,0,0,0,True,1,Gremio x Atletico MG
61,Gremio,Viery,2-1,2025-03-29,Gremio x Atletico MG2025,Viery - Gremio,0,0,0,0,0,True,1,Gremio x Atletico MG
65,Atletico MG,Gabriel Menino,2-1,2025-03-29,Gremio x Atletico MG2025,Gabriel Menino - Atletico MG,0,0,0,0,0,False,1,Gremio x Atletico MG
65,Atletico MG,Júnior Santos,2-1,2025-03-29,Gremio x Atletico MG2025,Júnior Santos - Atletico MG,0,0,0,0,0,False,1,Gremio x Atletico MG
73,Atletico MG,Júnior Alonso,2-1,2025-03-29,Gremio x Atletico MG2025,Júnior Alonso - Atletico MG,0,0,0,0,0,False,1,Gremio x Atletico MG
73,Atletico MG,Rubens,2-1,2025-03-29,Gremio x Atletico MG2025,Rubens - Atletico MG,0,0,0,0,0,False,1,Gremio x Atletico MG
73,Atletico MG,Hulk,2-1,2025-03-29,Gremio x Atletico MG2025,Hulk - Atletico MG,0,0,0,0,0,False,1,Gremio x Atletico MG
73,Atletico MG,João Marcelo,2-1,2025-03-29,Gremio x Atletico MG2025,João Marcelo - Atletico MG,0,0,0,0,0,False,1,Gremio x Atletico MG
